[trajectory_mamba_20260425_140951] Starting training trajectory with mamba
[trajectory_mamba_20260425_140951] epoch 2/20 batch 130 loss=0.2240
[trajectory_mamba_20260425_140951] epoch 2/20 batch 140 loss=0.1942
[trajectory_mamba_20260425_140951] epoch 2/20 batch 150 loss=0.4478
[trajectory_mamba_20260425_140951] epoch 2/20 batch 160 loss=0.2204
[trajectory_mamba_20260425_140951] epoch 2/20 batch 170 loss=0.2932
[trajectory_mamba_20260425_140951] epoch 2/20 batch 180 loss=0.2454
[trajectory_mamba_20260425_140951] epoch 2/20 batch 190 loss=0.2665
[trajectory_mamba_20260425_140951] epoch 2/20 batch 200 loss=0.1833
[trajectory_mamba_20260425_140951] epoch 2/20 batch 210 loss=0.3141
[trajectory_mamba_20260425_140951] epoch 2/20 batch 220 loss=0.2092
[trajectory_mamba_20260425_140951] epoch 2/20 batch 224 loss=0.4961
[trajectory_mamba_20260425_140951] epoch 2/20 train_loss=0.2821 val_ADE_xy=0.4714 val_FDE_xy=0.4964
[trajectory_mamba_20260425_140951] epoch 3/20 batch 10 loss=0.3180
[trajectory_mamba_20260425_140951] epoch 3/20 batch 20 loss=0.2920
[trajectory_mamba_20260425_140951] epoch 3/20 batch 30 loss=0.2953
[trajectory_mamba_20260425_140951] epoch 3/20 batch 40 loss=0.3528
[trajectory_mamba_20260425_140951] epoch 3/20 batch 50 loss=0.3447
[trajectory_mamba_20260425_140951] epoch 3/20 batch 60 loss=0.2582
[trajectory_mamba_20260425_140951] epoch 3/20 batch 70 loss=0.3630
[trajectory_mamba_20260425_140951] epoch 3/20 batch 80 loss=0.2667
[trajectory_mamba_20260425_140951] epoch 3/20 batch 90 loss=0.3625
[trajectory_mamba_20260425_140951] epoch 3/20 batch 100 loss=0.2638
[trajectory_mamba_20260425_140951] epoch 3/20 batch 110 loss=0.2500
[trajectory_mamba_20260425_140951] epoch 3/20 batch 120 loss=0.2543
[trajectory_mamba_20260425_140951] epoch 3/20 batch 130 loss=0.2462
[trajectory_mamba_20260425_140951] epoch 3/20 batch 140 loss=0.1375
[trajectory_mamba_20260425_140951] epoch 3/20 batch 150 loss=0.3485
[trajectory_mamba_20260425_140951] epoch 3/20 batch 160 loss=0.2184
[trajectory_mamba_20260425_140951] epoch 3/20 batch 170 loss=0.2087
[trajectory_mamba_20260425_140951] epoch 3/20 batch 180 loss=0.2963
[trajectory_mamba_20260425_140951] epoch 3/20 batch 190 loss=0.2147
[trajectory_mamba_20260425_140951] epoch 3/20 batch 200 loss=0.3093
[trajectory_mamba_20260425_140951] epoch 3/20 batch 210 loss=0.2769
[trajectory_mamba_20260425_140951] epoch 3/20 batch 220 loss=0.2929
[trajectory_mamba_20260425_140951] epoch 3/20 batch 224 loss=0.2461
[trajectory_mamba_20260425_140951] epoch 3/20 train_loss=0.2903 val_ADE_xy=0.4504 val_FDE_xy=0.4778
[trajectory_mamba_20260425_140951] epoch 4/20 batch 10 loss=0.2921
[trajectory_mamba_20260425_140951] epoch 4/20 batch 20 loss=0.2184
[trajectory_mamba_20260425_140951] epoch 4/20 batch 30 loss=0.2731
[trajectory_mamba_20260425_140951] epoch 4/20 batch 40 loss=0.2986
[trajectory_mamba_20260425_140951] epoch 4/20 batch 50 loss=0.2065
[trajectory_mamba_20260425_140951] epoch 4/20 batch 60 loss=0.2705
[trajectory_mamba_20260425_140951] epoch 4/20 batch 70 loss=0.3203
[trajectory_mamba_20260425_140951] epoch 4/20 batch 80 loss=0.2198
[trajectory_mamba_20260425_140951] epoch 4/20 batch 90 loss=0.4139
[trajectory_mamba_20260425_140951] epoch 4/20 batch 100 loss=0.2520
[trajectory_mamba_20260425_140951] epoch 4/20 batch 110 loss=0.3223
[trajectory_mamba_20260425_140951] epoch 4/20 batch 120 loss=0.4161
[trajectory_mamba_20260425_140951] epoch 4/20 batch 130 loss=0.2713
[trajectory_mamba_20260425_140951] epoch 4/20 batch 140 loss=0.3698
[trajectory_mamba_20260425_140951] epoch 4/20 batch 150 loss=0.2419
[trajectory_mamba_20260425_140951] epoch 4/20 batch 160 loss=0.2616
[trajectory_mamba_20260425_140951] epoch 4/20 batch 170 loss=0.2822
[trajectory_mamba_20260425_140951] epoch 4/20 batch 180 loss=0.2613
[trajectory_mamba_20260425_140951] epoch 4/20 batch 190 loss=0.3001
[trajectory_mamba_20260425_140951] epoch 4/20 batch 200 loss=0.2993
[trajectory_mamba_20260425_140951] epoch 4/20 batch 210 loss=0.3232
[trajectory_mamba_20260425_140951] epoch 4/20 batch 220 loss=0.2830
[trajectory_mamba_20260425_140951] epoch 4/20 batch 224 loss=0.3152
[trajectory_mamba_20260425_140951] epoch 4/20 train_loss=0.2812 val_ADE_xy=0.4653 val_FDE_xy=0.4929
[trajectory_mamba_20260425_140951] epoch 5/20 batch 10 loss=0.3750
[trajectory_mamba_20260425_140951] epoch 5/20 batch 20 loss=0.2373
[trajectory_mamba_20260425_140951] epoch 5/20 batch 30 loss=0.3177
