[trajectory_mamba_20260425_140951] Starting training trajectory with mamba
[trajectory_mamba_20260425_140951] epoch 1/20 batch 10 loss=0.3016
[trajectory_mamba_20260425_140951] epoch 1/20 batch 20 loss=0.2590
[trajectory_mamba_20260425_140951] epoch 1/20 batch 30 loss=0.5557
[trajectory_mamba_20260425_140951] epoch 1/20 batch 40 loss=0.4310
[trajectory_mamba_20260425_140951] epoch 1/20 batch 50 loss=0.3019
[trajectory_mamba_20260425_140951] epoch 1/20 batch 60 loss=0.3672
[trajectory_mamba_20260425_140951] epoch 1/20 batch 70 loss=0.3319
[trajectory_mamba_20260425_140951] epoch 1/20 batch 80 loss=0.4875
[trajectory_mamba_20260425_140951] epoch 1/20 batch 90 loss=0.3318
[trajectory_mamba_20260425_140951] epoch 1/20 batch 100 loss=0.2682
[trajectory_mamba_20260425_140951] epoch 1/20 batch 110 loss=0.2647
[trajectory_mamba_20260425_140951] epoch 1/20 batch 120 loss=0.3803
[trajectory_mamba_20260425_140951] epoch 1/20 batch 130 loss=0.2368
[trajectory_mamba_20260425_140951] epoch 1/20 batch 140 loss=0.3346
[trajectory_mamba_20260425_140951] epoch 1/20 batch 150 loss=0.2573
[trajectory_mamba_20260425_140951] epoch 1/20 batch 160 loss=0.3802
[trajectory_mamba_20260425_140951] epoch 1/20 batch 170 loss=0.4237
[trajectory_mamba_20260425_140951] epoch 1/20 batch 180 loss=0.2539
[trajectory_mamba_20260425_140951] epoch 1/20 batch 190 loss=0.2699
[trajectory_mamba_20260425_140951] epoch 1/20 batch 200 loss=0.3377
[trajectory_mamba_20260425_140951] epoch 1/20 batch 210 loss=0.2142
[trajectory_mamba_20260425_140951] epoch 1/20 batch 220 loss=0.3214
[trajectory_mamba_20260425_140951] epoch 1/20 batch 224 loss=0.7407
[trajectory_mamba_20260425_140951] epoch 1/20 train_loss=0.2894 val_ADE_xy=0.4489 val_FDE_xy=0.4784
[trajectory_mamba_20260425_140951] epoch 2/20 batch 10 loss=0.3245
[trajectory_mamba_20260425_140951] epoch 2/20 batch 20 loss=0.3371
[trajectory_mamba_20260425_140951] epoch 2/20 batch 30 loss=0.3853
[trajectory_mamba_20260425_140951] epoch 2/20 batch 40 loss=0.2977
[trajectory_mamba_20260425_140951] epoch 2/20 batch 50 loss=0.2065
[trajectory_mamba_20260425_140951] epoch 2/20 batch 60 loss=0.4759
[trajectory_mamba_20260425_140951] epoch 2/20 batch 70 loss=0.3014
[trajectory_mamba_20260425_140951] epoch 2/20 batch 80 loss=0.2436
[trajectory_mamba_20260425_140951] epoch 2/20 batch 90 loss=0.3631
[trajectory_mamba_20260425_140951] epoch 2/20 batch 100 loss=0.3475
[trajectory_mamba_20260425_140951] epoch 2/20 batch 110 loss=0.1545
[trajectory_mamba_20260425_140951] epoch 2/20 batch 120 loss=0.2290
