x,y
0.0002918966140334996,3.470118217633841e-21
0.0005886286722834613,6.669843509225794e-21
0.0008899821544456495,6.795649254878388e-21
0.0011957257406585249,-5.2880374571849124e-21
0.001505609889450884,-1.85327806105998e-20
0.001819366388049992,-1.8577708182070928e-20
0.0021367079927425516,-1.0665958477886647e-20
0.004540651199607019,1.4768917729982646e-16
0.012243181901182603,-1.2315809403924364e-07
0.02063272750359562,-2.7305897437981394e-07
0.028453292143330474,-4.1669329367994986e-07
0.035696540975108534,-5.541721281458005e-07
0.04236035142283798,-6.856484864397962e-07
0.04844730798439755,-8.111898467453441e-07
0.056030969111420394,-8.095318415368828e-07
0.06397549706337918,-7.684676496866519e-07
0.07182647366881385,-7.172056355542901e-07
0.08179441407700332,1.4436861262558215e-05
0.09373758587669366,2.7821687792532507e-06
0.10765072277092401,-1.280735920101913e-05
0.1235324142875814,-3.6416005497595914e-05
0.14097827302832797,-7.948669723319156e-05
0.15974488874183088,-7.1022661315037e-05
0.17986270406860425,-4.10433796060281e-05
0.20194255619689683,-2.4330397009078084e-05
0.22616810261618067,-5.152599305369034e-05
0.25072766138220515,-5.430792722963709e-05
0.2766337338692792,-0.00015014679276923116
0.3035482349017887,-0.0005295725192432178
0.33222341789459525,-0.0014096534374680098
0.361466060700663,-0.002667175613477691
0.39139742506047487,-0.0041222226421211506
0.42124209631425413,-0.005599310130376137
0.45067244331568285,-0.00734046742275842
0.4796314639844498,-0.009816994868498324
0.5089111520521158,-0.013334851447712617
0.5381133567969881,-0.018019352397837883
0.5671149747960044,-0.02391888609547319
0.5968728966395617,-0.031184978511291747
0.6267647305076975,-0.03979367818387004
0.6556942211904807,-0.04932636300411339
0.6840607311690996,-0.06019223568673278
0.7119050829271967,-0.07223474810692809
0.7391841155101393,-0.08476882891453051
0.7658577384701344,-0.09779087082866048
0.7920501087240814,-0.11185789536720557
0.818363209119214,-0.12643259812630256
0.8449977487350865,-0.14115084834718164
0.8716413955882728,-0.15587178419653452
0.8982741215677792,-0.17058996663727624
0.9248043101664674,-0.18525494950078603
0.9514393322017042,-0.19997909717654563
0.9780624435409591,-0.21470743269080392
1.0046988639945587,-0.22942895633883212
1.0313225472265464,-0.244154755603287
1.0578917589098509,-0.2588563814156113
1.084537216456587,-0.2735965224671968
1.1111610119961275,-0.2883263934347048
1.1377598144361418,-0.30304897803259256
1.1644058613155606,-0.3177944497449893
1.1910326646418419,-0.33254791759639446
1.2175193762101975,-0.3474169028950505
1.2437536643330105,-0.36282010041142393
1.2695177433288187,-0.37940847968357955
1.295068099162456,-0.3973424874742119
