W0420 16:55:08.444000 201023 torch/distributed/run.py:851] 
W0420 16:55:08.444000 201023 torch/distributed/run.py:851] *****************************************
W0420 16:55:08.444000 201023 torch/distributed/run.py:851] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0420 16:55:08.444000 201023 torch/distributed/run.py:851] *****************************************
pybullet build time: Apr 20 2026 14:38:59
pybullet build time: Apr 20 2026 14:38:59
/workspace/Mamba-Predict-Trajactory-with-SAC-Pipeline/.venv-linux-2404/lib/python3.12/site-packages/torch/distributed/c10d_logger.py:83: UserWarning: barrier(): using the device under current context. You can specify `device_id` in `init_process_group` to mute this warning.
  return func(*args, **kwargs)
[rank0]:[W420 16:55:11.807096976 ProcessGroupNCCL.cpp:5188] Guessing device ID based on global rank. This can cause a hang if rank to GPU mapping is heterogeneous. You can specify device_id in init_process_group()
[stage_a_single_run] CUDA memory <= 16 GiB: if OOM, try --batch_size 16 and/or higher --gradient_accumulation_steps.
[stage_a_single_run] CUDA memory <= 16 GiB: if OOM, try --batch_size 16 and/or higher --gradient_accumulation_steps.
[MambaTemporal] backend=mamba d_model=256 n_blocks=2
[MambaTemporal] backend=mamba d_model=256 n_blocks=2
[mamba_20260420_165511] temporal backbone ONLY trainable parameters (fair compare): 876544
[mamba_runtime] MambaTemporal backend='mamba' train_device=cuda:0 torch.cuda.is_available()=True
[mamba_20260420_165511] total AdamW trainable parameters: 3037857
/workspace/Mamba-Predict-Trajactory-with-SAC-Pipeline/.venv-linux-2404/lib/python3.12/site-packages/torch/distributed/c10d_logger.py:83: UserWarning: barrier(): using the device under current context. You can specify `device_id` in `init_process_group` to mute this warning.
  return func(*args, **kwargs)
[mamba_20260420_165511] epoch 3/30 micro_batch 700/2446 loss=0.2124
[mamba_20260420_165511] epoch 3/30 micro_batch 800/2446 loss=0.2991
[mamba_20260420_165511] epoch 3/30 micro_batch 900/2446 loss=0.5209
[mamba_20260420_165511] epoch 3/30 micro_batch 1000/2446 loss=0.0936
[mamba_20260420_165511] epoch 3/30 micro_batch 1100/2446 loss=0.2892
[mamba_20260420_165511] epoch 3/30 micro_batch 1200/2446 loss=0.0758
[mamba_20260420_165511] epoch 3/30 micro_batch 1300/2446 loss=0.3955
[mamba_20260420_165511] epoch 3/30 micro_batch 1400/2446 loss=0.0784
[mamba_20260420_165511] epoch 3/30 micro_batch 1500/2446 loss=0.1315
[mamba_20260420_165511] epoch 3/30 micro_batch 1600/2446 loss=0.4560
[mamba_20260420_165511] epoch 3/30 micro_batch 1700/2446 loss=0.4005
[mamba_20260420_165511] epoch 3/30 micro_batch 1800/2446 loss=0.3190
[mamba_20260420_165511] epoch 3/30 micro_batch 1900/2446 loss=0.0843
[mamba_20260420_165511] epoch 3/30 micro_batch 2000/2446 loss=0.1851
[mamba_20260420_165511] epoch 3/30 micro_batch 2100/2446 loss=0.1613
[mamba_20260420_165511] epoch 3/30 micro_batch 2200/2446 loss=0.1725
[mamba_20260420_165511] epoch 3/30 micro_batch 2300/2446 loss=0.3273
[mamba_20260420_165511] epoch 3/30 micro_batch 2400/2446 loss=0.2056
[mamba_20260420_165511] epoch 3/30 train_loss=0.3400 val_ap_risk_05s=0.3441 val_ap_risk_1s=0.2623 val_ADE_xy=0.3568 val_latency_ms/sample=15.536
[mamba_20260420_165511] epoch 4/30 micro_batch 100/2446 loss=0.1208
[mamba_20260420_165511] epoch 4/30 micro_batch 200/2446 loss=0.1907
[mamba_20260420_165511] epoch 4/30 micro_batch 300/2446 loss=0.3740
[mamba_20260420_165511] epoch 4/30 micro_batch 400/2446 loss=0.4938
[mamba_20260420_165511] epoch 4/30 micro_batch 500/2446 loss=0.4300
[mamba_20260420_165511] epoch 4/30 micro_batch 600/2446 loss=0.0652
[mamba_20260420_165511] epoch 4/30 micro_batch 700/2446 loss=0.2879
[mamba_20260420_165511] epoch 4/30 micro_batch 800/2446 loss=0.4633
[mamba_20260420_165511] epoch 4/30 micro_batch 900/2446 loss=0.0966
[mamba_20260420_165511] epoch 4/30 micro_batch 1000/2446 loss=0.5052
[mamba_20260420_165511] epoch 4/30 micro_batch 1100/2446 loss=0.3238
[mamba_20260420_165511] epoch 4/30 micro_batch 1200/2446 loss=0.4133
[mamba_20260420_165511] epoch 4/30 micro_batch 1300/2446 loss=0.2806
[mamba_20260420_165511] epoch 4/30 micro_batch 1400/2446 loss=0.1275
[mamba_20260420_165511] epoch 4/30 micro_batch 1500/2446 loss=0.1007
[mamba_20260420_165511] epoch 4/30 micro_batch 1600/2446 loss=0.2717
[mamba_20260420_165511] epoch 4/30 micro_batch 1700/2446 loss=0.3197
[mamba_20260420_165511] epoch 4/30 micro_batch 1800/2446 loss=0.1207
[mamba_20260420_165511] epoch 4/30 micro_batch 1900/2446 loss=0.0493
[mamba_20260420_165511] epoch 4/30 micro_batch 2000/2446 loss=0.1390
[mamba_20260420_165511] epoch 4/30 micro_batch 2100/2446 loss=0.4546
[mamba_20260420_165511] epoch 4/30 micro_batch 2200/2446 loss=0.1003
[mamba_20260420_165511] epoch 4/30 micro_batch 2300/2446 loss=0.1636
[mamba_20260420_165511] epoch 4/30 micro_batch 2400/2446 loss=0.3303
[mamba_20260420_165511] epoch 4/30 train_loss=0.3350 val_ap_risk_05s=0.2963 val_ap_risk_1s=0.2593 val_ADE_xy=0.3527 val_latency_ms/sample=14.568
[mamba_20260420_165511] epoch 5/30 micro_batch 100/2446 loss=0.2163
[mamba_20260420_165511] epoch 5/30 micro_batch 200/2446 loss=0.2193
[mamba_20260420_165511] epoch 5/30 micro_batch 300/2446 loss=0.1825
[mamba_20260420_165511] epoch 5/30 micro_batch 400/2446 loss=0.2815
[mamba_20260420_165511] epoch 5/30 micro_batch 500/2446 loss=0.6001
[mamba_20260420_165511] epoch 5/30 micro_batch 600/2446 loss=0.3712
[mamba_20260420_165511] epoch 5/30 micro_batch 700/2446 loss=0.2912
[mamba_20260420_165511] epoch 5/30 micro_batch 800/2446 loss=0.2703
[mamba_20260420_165511] epoch 5/30 micro_batch 900/2446 loss=0.4983
[mamba_20260420_165511] epoch 5/30 micro_batch 1000/2446 loss=0.0571
[mamba_20260420_165511] epoch 5/30 micro_batch 1100/2446 loss=0.0557
[mamba_20260420_165511] epoch 5/30 micro_batch 1200/2446 loss=0.1346
[mamba_20260420_165511] epoch 5/30 micro_batch 1300/2446 loss=0.2636
[mamba_20260420_165511] epoch 5/30 micro_batch 1400/2446 loss=0.1402
[mamba_20260420_165511] epoch 5/30 micro_batch 1500/2446 loss=0.2961
[mamba_20260420_165511] epoch 5/30 micro_batch 1600/2446 loss=0.3664
[mamba_20260420_165511] epoch 5/30 micro_batch 1700/2446 loss=0.2426
[mamba_20260420_165511] epoch 5/30 micro_batch 1800/2446 loss=0.0255
[mamba_20260420_165511] epoch 5/30 micro_batch 1900/2446 loss=0.3806
[mamba_20260420_165511] epoch 5/30 micro_batch 2000/2446 loss=0.1803
[mamba_20260420_165511] epoch 5/30 micro_batch 2100/2446 loss=0.2910
[mamba_20260420_165511] epoch 5/30 micro_batch 2200/2446 loss=0.2656
[mamba_20260420_165511] epoch 5/30 micro_batch 2300/2446 loss=0.3548
[mamba_20260420_165511] epoch 5/30 micro_batch 2400/2446 loss=0.6341
[mamba_20260420_165511] epoch 5/30 train_loss=0.3257 val_ap_risk_05s=0.2541 val_ap_risk_1s=0.2224 val_ADE_xy=0.3527 val_latency_ms/sample=14.421
[mamba_20260420_165511] epoch 6/30 micro_batch 100/2446 loss=0.6623
[mamba_20260420_165511] epoch 6/30 micro_batch 200/2446 loss=0.4979
[mamba_20260420_165511] epoch 6/30 micro_batch 300/2446 loss=0.0600
[mamba_20260420_165511] epoch 6/30 micro_batch 400/2446 loss=0.2453
[mamba_20260420_165511] epoch 6/30 micro_batch 500/2446 loss=0.0803
[mamba_20260420_165511] epoch 6/30 micro_batch 600/2446 loss=0.2851
[mamba_20260420_165511] epoch 6/30 micro_batch 700/2446 loss=0.0251
[mamba_20260420_165511] epoch 6/30 micro_batch 800/2446 loss=0.5961
[mamba_20260420_165511] epoch 6/30 micro_batch 900/2446 loss=0.1089
[mamba_20260420_165511] epoch 6/30 micro_batch 1000/2446 loss=0.0916
[mamba_20260420_165511] epoch 6/30 micro_batch 1100/2446 loss=0.4730
[mamba_20260420_165511] epoch 6/30 micro_batch 1200/2446 loss=0.3146
[mamba_20260420_165511] epoch 6/30 micro_batch 1300/2446 loss=0.4442
[mamba_20260420_165511] epoch 6/30 micro_batch 1400/2446 loss=0.4393
[mamba_20260420_165511] epoch 6/30 micro_batch 1500/2446 loss=0.1472
[mamba_20260420_165511] epoch 6/30 micro_batch 1600/2446 loss=0.6827
[mamba_20260420_165511] epoch 6/30 micro_batch 1700/2446 loss=0.3557
[mamba_20260420_165511] epoch 6/30 micro_batch 1800/2446 loss=0.3882
[mamba_20260420_165511] epoch 6/30 micro_batch 1900/2446 loss=0.7765
[mamba_20260420_165511] epoch 6/30 micro_batch 2000/2446 loss=0.2897
[mamba_20260420_165511] epoch 6/30 micro_batch 2100/2446 loss=0.3573
[mamba_20260420_165511] epoch 6/30 micro_batch 2200/2446 loss=0.3193
[mamba_20260420_165511] epoch 6/30 micro_batch 2300/2446 loss=0.2681
[mamba_20260420_165511] epoch 6/30 micro_batch 2400/2446 loss=0.0346
[mamba_20260420_165511] epoch 6/30 train_loss=0.3150 val_ap_risk_05s=0.2094 val_ap_risk_1s=0.2337 val_ADE_xy=0.3532 val_latency_ms/sample=14.497
[mamba_20260420_165511] Early stop: val ap_risk_1s did not improve > 0.0 for 5 epoch(s). Best ap_risk_1s=0.3891 @ epoch 1.
[mamba_20260420_165511] Best-val checkpoint: mamba_risk_6epochs_mamba_20260420_165511_best_val_ap.pt + mamba_risk_best_val_ap.pt
[mamba_20260420_165511] Last-epoch checkpoints: mamba_risk_6epochs_mamba_20260420_165511_last.pt + mamba_risk_latest.pt (under runs/stage_a_compare/checkpoints/mamba_risk_6epochs)

TensorBoard: tensorboard --logdir runs/stage_a_compare/mamba_20260420_165511
Metrics: runs/stage_a_compare/mamba_20260420_165511/metrics.jsonl
Validation inference latency (best-val snapshot): 14.4191 ms/sample
/workspace/Mamba-Predict-Trajactory-with-SAC-Pipeline/.venv-linux-2404/lib/python3.12/site-packages/torch/distributed/c10d_logger.py:83: UserWarning: barrier(): using the device under current context. You can specify `device_id` in `init_process_group` to mute this warning.
  return func(*args, **kwargs)
[stage_a_single_run] CUDA memory <= 16 GiB: if OOM, try --batch_size 16 and/or higher --gradient_accumulation_steps.
[MambaTemporal] backend=gru d_model=256 n_blocks=2
[rank0]: Traceback (most recent call last):
[rank0]:   File "/workspace/Mamba-Predict-Trajactory-with-SAC-Pipeline/PointPillars_module/training/train_stage_a_compare.py", line 315, in <module>
[rank0]:     main()
[rank0]:   File "/workspace/Mamba-Predict-Trajactory-with-SAC-Pipeline/PointPillars_module/training/train_stage_a_compare.py", line 280, in main
[rank0]:     run_experiment(
[rank0]:   File "/workspace/Mamba-Predict-Trajactory-with-SAC-Pipeline/PointPillars_module/training/train_stage_a_compare.py", line 106, in run_experiment
[rank0]:     row = run_stage_a_training(
[rank0]:           ^^^^^^^^^^^^^^^^^^^^^
[rank0]:   File "/workspace/Mamba-Predict-Trajactory-with-SAC-Pipeline/PointPillars_module/training/stage_a_single_run.py", line 634, in run_stage_a_training
[rank0]:     model = DDP(
[rank0]:             ^^^^
[rank0]:   File "/workspace/Mamba-Predict-Trajactory-with-SAC-Pipeline/.venv-linux-2404/lib/python3.12/site-packages/torch/nn/parallel/distributed.py", line 881, in __init__
[rank0]:     _verify_param_shape_across_processes(self.process_group, parameters)
[rank0]:   File "/workspace/Mamba-Predict-Trajactory-with-SAC-Pipeline/.venv-linux-2404/lib/python3.12/site-packages/torch/distributed/utils.py", line 286, in _verify_param_shape_across_processes
[rank0]:     return dist._verify_params_across_processes(process_group, tensors, logger)
[rank0]:            ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
[rank0]: RuntimeError: value cannot be converted to type int without overflow
[rank0]:[W420 20:28:42.400166096 ProcessGroupNCCL.cpp:1575] Warning: WARNING: destroy_process_group() was not called before program exit, which can leak resources. For more info, please see https://pytorch.org/docs/stable/distributed.html#shutdown (function operator())
W0420 20:28:46.272000 201023 torch/distributed/elastic/multiprocessing/api.py:1012] Sending process 201107 closing signal SIGTERM
E0420 20:28:48.249000 201023 torch/distributed/elastic/multiprocessing/api.py:986] failed (exitcode: 1) local_rank: 0 (pid: 201106) of binary: /workspace/Mamba-Predict-Trajactory-with-SAC-Pipeline/.venv-linux-2404/bin/python
Traceback (most recent call last):
  File "/workspace/Mamba-Predict-Trajactory-with-SAC-Pipeline/.venv-linux-2404/bin/torchrun", line 6, in <module>
    sys.exit(main())
