episode,step,x,y,reward,loss,coverage_rate,total_cover,collision
1,1,0.0002918966140334996,3.470118217633841e-21,-100.0,nan,0.00043402777777777775,1,False
1,2,0.0005886286722834613,6.669843509225794e-21,-100.0,nan,0.00043402777777777775,1,False
1,3,0.0008899821544456495,6.795649254878388e-21,-100.0,nan,0.00043402777777777775,1,False
1,4,0.0011957257406585249,-5.2880374571849124e-21,11.0,nan,0.0008680555555555555,2,False
1,5,0.001505609889450884,-1.85327806105998e-20,-100.0,nan,0.0008680555555555555,2,False
1,6,0.0015301016961554836,-2.6283070949533515e-20,-100.0,nan,0.0008680555555555555,2,False
1,7,0.0015545545205990113,-3.295844806893946e-20,-100.0,nan,0.0008680555555555555,2,False
1,8,0.0030978198701191693,-7.907923868637335e-16,-100.0,nan,0.0008680555555555555,2,False
1,9,0.003297575355254204,-0.0021152002399965667,-100.0,nan,0.0008680555555555555,2,False
1,10,0.003663169521976804,-0.004972764822200047,-100.0,nan,0.0008680555555555555,2,False
1,11,0.003995144933127979,-0.00783661375509134,-100.0,nan,0.0008680555555555555,2,False
1,12,0.004184425918879796,-0.010711602007648159,-100.0,nan,0.0008680555555555555,2,False
1,13,0.004243932664069083,-0.01359580832749948,-100.0,nan,0.0008680555555555555,2,False
1,14,0.004309484395481874,-0.016471746851106157,-100.0,nan,0.0008680555555555555,2,False
1,15,0.0044096834382692076,-0.01743187638335329,-100.0,nan,0.0008680555555555555,2,False
1,16,0.003968131651628587,-0.015477386299291787,-100.0,nan,0.0008680555555555555,2,False
1,17,0.003546365971013859,-0.013553608421346685,-100.0,nan,0.0008680555555555555,2,False
1,18,0.0035540852231159556,-0.01313541517053944,-100.0,nan,0.0008680555555555555,2,False
1,19,0.0039696752716951444,-0.01312084139354583,-100.0,nan,0.0008680555555555555,2,False
1,20,0.004252406715969547,-0.013175848907425059,-100.0,nan,0.0008680555555555555,2,False
1,21,0.004131797436810088,-0.01309492015264253,-100.0,nan,0.0008680555555555555,2,False
1,22,0.004026103134114728,-0.013271661887985012,-100.0,nan,0.0008680555555555555,2,False
1,23,0.003942357358960555,-0.013172779650298116,-100.0,nan,0.0008680555555555555,2,False
1,24,0.0038383681939833294,-0.013250738995328063,-100.0,nan,0.0008680555555555555,2,False
